#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
245803	24205	5783	246393	111747	-	-	Apc	PTPN13	RATAPC	PTP-BL|PTP-BAS|PTPLE|PTPL1|PNP1|PTP1E|FAP-1|hPTP1E	Reconstituted Complex	physical	Erdmann KS (2000)	10951583	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
245878	66603	85435	211588	250104	-	-	Sip1	Smad9	1700012N19Rik|Gemin2	Smad8|Madh9	Two-hybrid	physical	van Grunsven LA (2003)	12714599	10090	10116	Low Throughput	-	-	-	-	-	BioGRID
251246	89816	361512	250139	262737	-	-	Picalm	Ehd2	Calm	MGEPS	Reconstituted Complex	physical	Park SY (2004)	15182197	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
251247	361512	25139	262737	247208	-	-	Ehd2	Slc2a4	MGEPS	Glut4	Affinity Capture-Western	physical	Park SY (2004)	15182197	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
252330	26574	292925	117743	254034	HSPC277	-	AATF	Tsg101	CHE1|DED|CHE-1	Rw	Two-hybrid	physical	Burgdorf S (2004)	14761944	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252331	292925	26574	254034	117743	-	HSPC277	Tsg101	AATF	Rw	CHE1|DED|CHE-1	Reconstituted Complex	physical	Burgdorf S (2004)	14761944	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
252332	8655	310218	114206	259578	-	-	DYNLL1	Car1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Ca1|CA-I	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252333	8655	24533	114206	246686	-	-	DYNLL1	Ldha	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Ldh1	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252334	8655	24189	114206	246379	-	-	DYNLL1	Aldoa	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	RNALDOG5|Aldo1	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252335	8655	64520	114206	249104	-	-	DYNLL1	Mta1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	-	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252336	8655	50688	114206	248426	-	-	DYNLL1	Cacnb1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	-	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252337	8655	24957	114206	247058	-	-	DYNLL1	Glul	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Glns	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252338	8655	81822	114206	249680	-	-	DYNLL1	Actb	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Actx	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252339	8655	287876	114206	252365	-	-	DYNLL1	Actg1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Actg	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252340	8655	24551	114206	246700	-	-	DYNLL1	Mdh1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Mdhl|MDL1|Mor2	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252341	8655	81818	114206	249676	-	-	DYNLL1	Vim	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	-	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252342	8655	499110	114206	270419	-	-	DYNLL1	LOC499110	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	-	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252343	8655	24399	114206	246566	-	-	DYNLL1	Glud1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Glud|MRG-2|Ac2-281	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252345	8655	64158	114206	248985	-	-	DYNLL1	Tuba1a	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Tuba1	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252346	8655	291081	114206	253414	-	-	DYNLL1	Tubb2b	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Tubb2|RGD1309427	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252347	8655	64845	114206	249211	-	-	DYNLL1	Gphn	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Geph	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252348	8655	60416	114206	248822	-	-	DYNLL1	Pfkp	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	PFK-C	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252349	8655	65152	114206	249268	-	-	DYNLL1	Pfkm	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Pfk-M|PFK-A	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252350	8655	81918	114206	249693	-	-	DYNLL1	Pard3	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Par3	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252351	8655	64862	114206	249213	-	-	DYNLL1	Map1lc3b	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Mpl3|zbs559|Map1lc3	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252352	8655	29489	114206	248131	-	-	DYNLL1	Dync1h1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Dnch1|Dnchc1	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252353	8655	307169	114206	258647	-	-	DYNLL1	Mastl	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	-	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252354	8655	29495	114206	248135	-	-	DYNLL1	Dlg4	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Sap90|PSD95|Dlgh4	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252355	8655	171574	114206	251309	-	-	DYNLL1	Dnm3	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	dynamin-2	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252356	8655	24409	114206	246574	-	-	DYNLL1	Grin2a	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	NR2A|NMDAR2A	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252357	8655	81522	114206	249519	-	-	DYNLL1	Mtr	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	methioninesynthase	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252358	8655	25751	114206	247779	-	-	DYNLL1	Dnm2	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	DYIIAAB	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252359	8655	29264	114206	247936	-	-	DYNLL1	Clip2	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Cyln2|CLIP-115	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252360	8655	24598	114206	246738	-	-	DYNLL1	Nos1	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	bNOS	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252361	8655	191573	114206	251320	-	-	DYNLL1	Grin3a	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	NR3|chi-1	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
252362	8655	289623	114206	252973	-	-	DYNLL1	Ube2k	PIN|LC8a|DLC8|LC8|DLC1|hdlc1|DNCL1|DNCLC1	Lig|Hypg|Hip2|E2-25k	Affinity Capture-MS	physical	Navarro-Lerida I (2004)	14760703	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
253234	117542	58948	250757	248683	-	-	Baiap2	Dlg3	Irsp53	Dlgh3	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253235	117542	361503	250757	262729	-	-	Baiap2	Eps8l1	Irsp53	-	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253236	117542	308113	250757	258906	-	-	Baiap2	Cnksr3	Irsp53	Prp4|Magi1	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253237	117542	25252	250757	247292	-	-	Baiap2	Dlg1	Irsp53	Dlgh1|SAP97	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253238	117542	113970	250757	250241	-	-	Baiap2	Magi2	Irsp53	Acvrip1|S-SCAM|Acvrinp1	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253239	117542	60377	250757	248805	-	-	Baiap2	Lin7b	Irsp53	Veli2|Veli1a	Two-hybrid	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253241	10458	60377	115721	248805	-	-	BAIAP2	Lin7b	FLAF3|BAP2|IRSP53	Veli2|Veli1a	Reconstituted Complex	physical	Hori K (2003)	14596909	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
253242	117542	60377	250757	248805	-	-	Baiap2	Lin7b	Irsp53	Veli2|Veli1a	Affinity Capture-Western	physical	Hori K (2003)	14596909	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253496	65218	29546	249323	248180	-	-	Agap2	Homer1	Centg1|Pike	HOMER1F|Vesl-1	Affinity Capture-Western	physical	Rong R (2003)	14528310	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
253497	65218	29547	249323	248181	-	-	Agap2	Homer2	Centg1|Pike	Vesl-2	Affinity Capture-Western	physical	Rong R (2003)	14528310	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255147	29290	309557	247960	259422	-	rCG_59132	Adora1	Epb4.1l2	-	RGD1563977	Two-hybrid	physical	Lu D (2004)	12974671	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255148	29290	309557	247960	259422	-	rCG_59132	Adora1	Epb4.1l2	-	RGD1563977	Affinity Capture-Western	physical	Lu D (2004)	12974671	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255149	29290	309557	247960	259422	-	rCG_59132	Adora1	Epb4.1l2	-	RGD1563977	Reconstituted Complex	physical	Lu D (2004)	12974671	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255184	25456	64845	247490	249211	-	-	Glrb	Gphn	-	Geph	Affinity Capture-Western	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255185	25456	64303	247490	249018	-	-	Glrb	Pfn1	-	-	Affinity Capture-Western	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255186	25456	268566	247490	234521	-	-	Glrb	Gphn	-	GPHRYN|AI662856|geph|C230040D23|5730552E08Rik|GPH|BC027112	Affinity Capture-Western	physical	Giesemann T (2003)	12967995	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
255187	25456	18643	247490	202126	-	DN-183N8.15-001	Glrb	Pfn1	-	Pfn	Affinity Capture-Western	physical	Giesemann T (2003)	12967995	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
255188	64845	64303	249211	249018	-	-	Gphn	Pfn1	Geph	-	Reconstituted Complex	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255189	64845	81531	249211	249528	-	-	Gphn	Pfn2	Geph	-	Reconstituted Complex	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255190	64845	360891	249211	262282	-	-	Gphn	Enah	Geph	-	Reconstituted Complex	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255191	64845	360891	249211	262282	-	-	Gphn	Enah	Geph	-	Affinity Capture-Western	physical	Giesemann T (2003)	12967995	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
255479	362479	57455	263480	121526	-	-	Tcea1	REXO1	-	EloA-BP1|ELOABP1|REX1|TCEB3BP1	Two-hybrid	physical	Tamura K (2003)	12943681	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
255484	1808	29419	108142	248068	-	-	DPYSL2	Numb	N2A3|DRP2|ULIP2|DRP-2|ULIP-2|CRMP2|DHPRP2|CRMP-2	-	Affinity Capture-Western	physical	Nishimura T (2003)	12942088	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
255567	24766	6330	246890	112235	-	-	Scn2a1	SCN4B	SCN|Scn2a2|RII/RIIA|NachII|Nav1.2|ScpII|SCN2A|RNSCPIIR	-	Affinity Capture-Western	physical	Yu FH (2003)	12930796	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
258759	8028	64158	113723	248985	RP11-399C16.2	-	MLLT10	Tuba1a	AF10	Tuba1	Affinity Capture-MS	physical	Hussain NK (2003)	12750376	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
258760	117277	64158	250724	248985	-	-	Epn1	Tuba1a	-	Tuba1	Reconstituted Complex	physical	Hussain NK (2003)	12750376	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
258761	64158	117277	248985	250724	-	-	Tuba1a	Epn1	Tuba1	-	Affinity Capture-Western	physical	Hussain NK (2003)	12750376	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
258762	64158	60443	248985	248836	-	-	Tuba1a	Epn2	Tuba1	-	Affinity Capture-Western	physical	Hussain NK (2003)	12750376	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
259189	7157	365895	113010	265613	-	-	TP53	Hipk1	p53|TRP53|LFS1	-	Two-hybrid	physical	Kondo S (2003)	12702766	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
260804	54323	85423	248539	250095	-	-	Arc	Tfpt	rg3.1	Amida	Affinity Capture-Western	physical	Irie Y (2000)	10644725	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
260805	85423	54323	250095	248539	-	-	Tfpt	Arc	Amida	rg3.1	Affinity Capture-Western	physical	Irie Y (2000)	10644725	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
261487	65137	5340	249258	111356	-	RP1-81D8.1	Ruvbl1	PLG	Tip49a|Pontin52|NMP238	-	Reconstituted Complex	physical	Hawley SB (2001)	11027681	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
261740	83797	24516	219977	246671	-	-	Smarcd1	Jun	AA407987|Baf60a|D15Kz1	-	Reconstituted Complex	physical	Ito T (2001)	11053448	10090	10116	Low Throughput	-	-	-	-	-	BioGRID
261741	83797	314322	219977	260681	-	-	Smarcd1	Fos	AA407987|Baf60a|D15Kz1	c-fos	Reconstituted Complex	physical	Ito T (2001)	11053448	10090	10116	Low Throughput	-	-	-	-	-	BioGRID
262056	171379	361825	251216	262988	-	-	Smarca4	Smarcb1	brg-1	-	Co-fractionation	physical	Wang W (1996)	8895581	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262454	29665	60	248286	106575	-	-	P2rx7	ACTB	-	PS1TP5BP1	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262455	29665	3312	248286	109544	-	-	P2rx7	HSPA8	-	HSPA10|HSP73|HSC54|HSC70|HSC71|HSP71|NIP71|LAP1	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262456	29665	3308	248286	109540	-	-	P2rx7	HSPA4	-	hsp70RY|RY|HSPH2|hsp70|HS24/P52|APG-2	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262457	29665	5803	248286	111767	-	-	P2rx7	PTPRZ1	-	HPTPZ|phosphacan|PTPRZ|PTP-ZETA|RPTPB|PTPZ|RPTPbeta|HPTPzeta|PTP18	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262458	29665	3689	248286	109895	-	-	P2rx7	ITGB2	-	LAD|MFI7|LCAMB|MAC-1|LFA-1|MF17|CD18	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262459	29665	4356	248286	110496	-	-	P2rx7	MPP3	-	DLG3	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262460	29665	3909	248286	110103	-	-	P2rx7	LAMA3	-	LOCS|lama3a|E170|LAMNA|BM600	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262461	29665	81	248286	106596	-	-	P2rx7	ACTN4	-	ACTININ-4|FSGS|FSGS1	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262462	29665	6840	248286	112707	-	RP11-534G20.1	P2rx7	SVIL	-	-	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262463	29665	6840	248286	112707	-	RP11-534G20.1	P2rx7	SVIL	-	-	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262464	29665	5803	248286	111767	-	-	P2rx7	PTPRZ1	-	HPTPZ|phosphacan|PTPRZ|PTP-ZETA|RPTPB|PTPZ|RPTPbeta|HPTPzeta|PTP18	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262465	29665	3689	248286	109895	-	-	P2rx7	ITGB2	-	LAD|MFI7|LCAMB|MAC-1|LFA-1|MF17|CD18	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262466	29665	60	248286	106575	-	-	P2rx7	ACTB	-	PS1TP5BP1	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262467	29665	3312	248286	109544	-	-	P2rx7	HSPA8	-	HSPA10|HSP73|HSC54|HSC70|HSC71|HSP71|NIP71|LAP1	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262468	29665	3320	248286	109552	-	-	P2rx7	HSP90AA1	-	LAP2|HSPCAL4|HSP90A|HSPCAL1|HSPN|HSP90N|Hsp90|HSP89A|Hsp89|HSPCA|HSPC1|HSP86	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262469	29665	3308	248286	109540	-	-	P2rx7	HSPA4	-	hsp70RY|RY|HSPH2|hsp70|HS24/P52|APG-2	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262470	29665	4356	248286	110496	-	-	P2rx7	MPP3	-	DLG3	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262471	29665	3909	248286	110103	-	-	P2rx7	LAMA3	-	LOCS|lama3a|E170|LAMNA|BM600	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262481	29665	81	248286	106596	-	-	P2rx7	ACTN4	-	ACTININ-4|FSGS|FSGS1	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262487	29665	3320	248286	109552	-	-	P2rx7	HSP90AA1	-	LAP2|HSPCAL4|HSP90A|HSPCAL1|HSPN|HSP90N|Hsp90|HSP89A|Hsp89|HSPCA|HSPC1|HSP86	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
262657	553106	54241	275016	248464	-	-	Ncald	Cltc	-	-	Affinity Capture-MS	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262658	553106	81822	275016	249680	-	-	Ncald	Actb	-	Actx	Affinity Capture-MS	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262659	553106	24383	275016	246554	-	-	Ncald	Gapdh	-	Gapd	Affinity Capture-MS	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262660	553106	54241	275016	248464	-	-	Ncald	Cltc	-	-	Reconstituted Complex	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262661	553106	81822	275016	249680	-	-	Ncald	Actb	-	Actx	Reconstituted Complex	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262662	553106	54241	275016	248464	-	-	Ncald	Cltc	-	-	Affinity Capture-Western	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262663	553106	81822	275016	249680	-	-	Ncald	Actb	-	Actx	Affinity Capture-Western	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
262664	553106	24383	275016	246554	-	-	Ncald	Gapdh	-	Gapd	Affinity Capture-Western	physical	Ivings L (2002)	11964161	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
263034	83718	29753	249813	248364	-	-	Clic4	Ywhae	-	14-3-3e	Affinity Capture-MS	physical	Suginta W (2001)	11563969	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
263035	83718	25578	249813	247609	-	-	Clic4	Ywhaz	-	14-3-3z	Affinity Capture-MS	physical	Suginta W (2001)	11563969	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
263036	83718	81822	249813	249680	-	-	Clic4	Actb	-	Actx	Affinity Capture-MS	physical	Suginta W (2001)	11563969	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
